newid,st_wgt,caladj45,state,psu
05464852,77852.03521830378,1.8547448597932532,36,S12A
05466821,80300.1086631941,1.1314801699755885,36,S12A
05466822,80300.1086631941,1.1314801699755885,36,S12A
05466891,45307.2968101374,0.5378605782711725,36,NA
05466892,45307.2968101374,0.5378605782711725,36,NA
05468161,70882.03896650698,1.3753450082291838,36,S12A
05468162,70882.03896650698,1.3753450082291838,36,S12A
05468981,39255.16759566109,1.0750262675324835,36,NA
05468982,39255.16759566109,1.0750262675324835,36,NA
05470101,46616.3993480706,0.5328222478901401,36,NA
05470102,46616.3993480706,0.5328222478901401,36,NA
05470231,22849.57981480482,0.8020552123894962,36,S12A
05470232,22849.57981480482,0.8020552123894962,36,S12A
05470541,35521.95243454657,0.9268467382212543,36,NA
05470542,35521.95243454657,0.9268467382212543,36,NA
05470891,32741.869147957703,0.5328222478901401,36,NA
05470892,32741.869147957703,0.5328222478901401,36,NA
05471891,79178.90290843556,2.0309357365609655,36,S12A
05472761,30992.904908899676,0.7767249717931191,36,S12A
05472762,30992.904908899676,0.7767249717931191,36,S12A
05473001,32824.354243168804,0.8207701232349668,36,S12A
05473002,32824.354243168804,0.8207701232349668,36,S12A
05473061,167668.01500125468,1.9073329305669597,36,NA
05473062,167668.01500125468,1.9073329305669597,36,NA
05473751,62104.98936658698,1.704623093365118,36,NA
05473752,62104.98936658698,1.704623093365118,36,NA
05474211,51075.79915788255,1.0750262675324835,36,NA
05474212,51075.79915788255,1.0750262675324835,36,NA
05474421,33568.53905162185,0.9586674728429021,36,S12A
05474422,33568.53905162185,0.9586674728429021,36,S12A
05475741,54180.19412669325,0.750885950218168,36,S12A
05475742,54180.19412669325,0.750885950218168,36,S12A
05477381,66861.9320209584,0.8569625652044555,36,NA
05477382,66861.9320209584,0.8569625652044555,36,NA
05477801,56759.49284388367,1.96270718368265,36,S12A
05477802,56759.49284388367,1.96270718368265,36,S12A
05478141,89288.67436194578,2.353959248250118,36,S12A
05478142,89288.67436194578,2.353959248250118,36,S12A
05478311,43427.91217638558,1.1449104405492823,36,S12A
05478312,43427.91217638558,1.1449104405492823,36,S12A
05478491,34440.1873547557,1.3640871472465852,36,S12A
05478492,34440.1873547557,1.3640871472465852,36,S12A
05478531,55152.77511544531,1.3502376456959653,36,S12A
05478532,55152.77511544531,1.3502376456959653,36,S12A
05479211,42469.1547796421,1.6083757454669265,36,NA
05479212,42469.1547796421,1.6083757454669265,36,NA
05479301,28776.361561982558,1.0324799947772734,36,S12A
05479302,28776.361561982558,1.0324799947772734,36,S12A
05479711,54238.69452511332,0.9822209913369446,36,S12A
05479712,54238.69452511332,0.9822209913369446,36,S12A
05480451,84064.49369464276,1.534255481893236,36,S12A
05480452,84064.49369464276,1.534255481893236,36,S12A
05480611,21786.07104673668,0.5328222478901401,36,NA
05480612,21786.07104673668,0.5328222478901401,36,NA
05480671,36485.681036040514,0.5566640686133499,36,NA
05480672,36485.681036040514,0.5566640686133499,36,NA
05483211,75132.07428266687,1.533626176767787,36,NA
05483212,75132.07428266687,1.533626176767787,36,NA
05483371,21960.31997604308,0.7593739058151914,36,S12A
05483372,21960.31997604308,0.7593739058151914,36,S12A
05483611,68791.80321389815,1.684145216995651,36,S12A
05483861,51546.383665876034,1.1449104405492823,36,NA
05483862,51546.383665876034,1.1449104405492823,36,NA
05484151,20925.398236525354,1.0324799947772734,36,S12A
05484152,20925.398236525354,1.0324799947772734,36,S12A
05484371,45421.52048430558,1.7848606867764545,36,NA
05484372,45421.52048430558,1.7848606867764545,36,NA
05484682,23969.482949304325,0.5328222478901401,36,S12A
05486991,27646.120922292663,1.3640871472465852,36,S12A
05486992,27646.120922292663,1.3640871472465852,36,S12A
05488411,26522.7495507556,1.3086588846774654,36,S12A
05488412,26522.7495507556,1.3086588846774654,36,S12A
05488591,21808.168557971243,0.8569625652044555,36,NA
05488592,21808.168557971243,0.8569625652044555,36,NA
05488691,17626.489940216296,0.5328222478901401,36,NA
05488692,17626.489940216296,0.5328222478901401,36,NA
05489281,44170.780826511946,1.214794613566081,36,NA
05489282,44170.780826511946,1.214794613566081,36,NA
05489331,88189.35399204968,1.9603781163492724,36,S12A
05489332,88189.35399204968,1.9603781163492724,36,S12A
05489441,38363.480194693955,1.0324799947772734,36,S12A
05489442,38363.480194693955,1.0324799947772734,36,S12A
05489541,49746.04517303749,1.7848606867764545,36,S12A
05489542,49746.04517303749,1.7848606867764545,36,S12A
05489871,23262.506271224705,0.613280375881173,36,S12A
05489872,23262.506271224705,0.613280375881173,36,S12A
05490071,39888.179695741994,1.4260611266781191,36,NA
05490072,39888.179695741994,1.4260611266781191,36,NA
05491051,44031.433085265715,1.5225789677506874,36,S12A
05491052,44031.433085265715,1.5225789677506874,36,S12A
05491711,13202.497892466323,0.5,36,NA
05491712,13202.497892466323,0.5,36,NA
05491801,53711.7942159121,1.4291879370696585,36,NA
05491802,53711.7942159121,1.4291879370696585,36,NA
05493551,47491.190984847104,1.5518259004025103,36,S12A
05493552,47491.190984847104,1.5518259004025103,36,S12A
05493721,130336.31632425582,1.4946538471265918,36,S12A
05493722,130336.31632425582,1.4946538471265918,36,S12A
05494271,40766.94277715451,0.8255812663607834,36,NA
05494272,40766.94277715451,0.8255812663607834,36,NA
05494501,36867.652361873865,1.5518259004025103,36,NA
05494502,36867.652361873865,1.5518259004025103,36,NA
05495881,36914.552053945714,0.875954317893699,36,NA
05495882,36914.552053945714,0.875954317893699,36,NA
05495891,42166.974668263036,1.172259259960609,36,S12A
05495892,42166.974668263036,1.172259259960609,36,S12A
05496111,33058.01523088865,1.2705079766026577,36,S12A
05496112,33058.01523088865,1.2705079766026577,36,S12A
05496661,72731.65300346346,1.5758338358821455,36,S12A
05496662,72731.65300346346,1.5758338358821455,36,S12A
05498061,34459.692908167155,1.3373007849290457,36,S12A
05498062,34459.692908167155,1.3373007849290457,36,S12A
