newid,st_wgt,caladj45,state,psu
05449212,72480.21753608703,1.0112779134919412,06,NA
05449312,31248.9534277724,0.4907238156922049,06,NA
05449431,35935.2118338419,0.7661883293260985,06,NA
05449432,35935.2118338419,0.7661883293260985,06,NA
05449691,18661.484502828887,1.2616548453690657,06,S49C
05449692,18661.484502828887,1.2616548453690657,06,S49C
05450291,71154.75887165795,1.9999659225017874,06,S49B
05450292,71154.75887165795,1.9999659225017874,06,S49B
05450311,72242.75052015048,0.95868978332978,06,NA
05450312,72242.75052015048,0.95868978332978,06,NA
05450461,67889.58486907925,1.3467506784111865,06,NA
05450462,67889.58486907925,1.3467506784111865,06,NA
05450811,79008.54121831327,1.1878104294602134,06,NA
05450812,79008.54121831327,1.1878104294602134,06,NA
05451031,39247.837244250484,0.44026492202183887,06,NA
05451032,39247.837244250484,0.44026492202183887,06,NA
05451291,33571.805695937495,0.6659762640128447,06,NA
05451292,33571.805695937495,0.6659762640128447,06,NA
05451341,22109.379731278936,0.4024681023923964,06,NA
05451342,22109.379731278936,0.4024681023923964,06,NA
05451521,22536.777412092266,1.7575585223926018,06,S49E
05451522,22536.777412092266,1.7575585223926018,06,S49E
05451861,19682.68147677813,0.40330334879921637,06,S49B
05451862,19682.68147677813,0.40330334879921637,06,S49B
05452351,34952.17547860119,0.9567398239484695,06,NA
05452352,34952.17547860119,0.9567398239484695,06,NA
05452421,12676.796996251338,0.6659762640128447,06,S49C
05452422,12676.796996251338,0.6659762640128447,06,S49C
05453011,50666.48842517894,1.3338639324662296,06,S49A
05453012,50666.48842517894,1.3338639324662296,06,S49A
05453101,11617.784007678656,0.8347611482201192,06,S49E
05453102,11617.784007678656,0.8347611482201192,06,S49E
05453151,51019.543957724825,1.184048264307047,06,NA
05453152,51019.543957724825,1.184048264307047,06,NA
05453171,80266.07102471654,2.3972316037917483,06,NA
05453172,80266.07102471654,2.3972316037917483,06,NA
05453211,8595.263272142884,0.5208731930178355,06,S49E
05453212,8595.263272142884,0.5208731930178355,06,S49E
05453831,52144.136874578406,1.0007489115147814,06,S49A
05453832,52144.136874578406,1.0007489115147814,06,S49A
05454051,29631.080846891127,0.5686789288670633,06,S49A
05454052,29631.080846891127,0.5686789288670633,06,S49A
05454221,31244.613498093404,1.0063634712120155,06,S49A
05454351,10018.51395390428,0.7160822966694717,06,S49E
05454352,10018.51395390428,0.7160822966694717,06,S49E
05454901,62989.061292461396,1.768922770776582,06,NA
05454902,62989.061292461396,1.768922770776582,06,NA
05455181,18966.995294552446,0.6056405020896858,06,S49B
05455182,18966.995294552446,0.6056405020896858,06,S49B
05455501,20238.193294078425,0.4907238156922049,06,S49B
05455502,12210.318688683616,0.4907238156922049,06,S49B
05456041,28180.001310690826,0.5408298483488316,06,S49A
05456042,28180.001310690826,0.5408298483488316,06,S49A
05456071,28658.8720492288,1.3041436256849612,06,S49E
05456072,28658.8720492288,1.3041436256849612,06,S49E
05456181,28608.10048459488,0.6056405020896858,06,S49B
05456182,28608.10048459488,0.6056405020896858,06,S49B
05456871,18414.41621697734,0.7264415503153456,06,S49C
05456872,21648.38375936118,0.8540203107537501,06,S49C
05457101,42975.408350763006,0.771628265384348,06,S49B
05457102,42975.408350763006,0.771628265384348,06,S49B
05457361,20894.423814925703,0.7110823065443359,06,S49C
05457362,20894.423814925703,0.7110823065443359,06,S49C
05457571,38349.022761582346,1.1002064029587264,06,S49A
05457572,38349.022761582346,1.1002064029587264,06,S49A
05457701,42563.79824820937,0.6684086087872363,06,NA
05457702,42563.79824820937,0.6684086087872363,06,NA
05458141,20293.613849522408,1.0063634712120155,06,S49E
05458142,20293.613849522408,1.0063634712120155,06,S49E
05458301,28590.598158365137,0.8311110228913756,06,S49E
05458302,28590.598158365137,0.8311110228913756,06,S49E
05458481,17904.96665398635,1.3963410189685828,06,S49E
05458482,17904.96665398635,1.3963410189685828,06,S49E
05458531,121014.23467271714,1.454577709656866,06,NA
05458532,121014.23467271714,1.454577709656866,06,NA
05459181,25053.233930471528,0.8311110228913756,06,S49E
05459182,25053.233930471528,0.8311110228913756,06,S49E
05459301,27602.357652523548,1.0063634712120155,06,S49C
05459302,27602.357652523548,1.0063634712120155,06,S49C
05459541,25563.448360856364,0.5388090181091032,06,S49A
05459542,25563.448360856364,0.5388090181091032,06,S49A
05459631,10948.687341432458,0.6659762640128447,06,S49A
05459632,10948.687341432458,0.6659762640128447,06,S49A
05460261,31248.9534277724,0.4907238156922049,06,NA
05460262,31248.9534277724,0.4907238156922049,06,NA
05460551,19613.3209931667,0.972627642520322,06,S49E
05460552,19613.3209931667,0.972627642520322,06,S49E
05460601,60204.44640057738,1.2021726694485702,06,S49A
05460602,60204.44640057738,1.2021726694485702,06,S49A
05461061,61945.605884952165,1.1276268604131392,06,NA
05461062,61945.605884952165,1.1276268604131392,06,NA
05461361,102906.63478967655,2.0942507910560124,06,S49A
05461362,102906.63478967655,2.0942507910560124,06,S49A
05461531,65475.56547905286,0.95868978332978,06,S49A
