newid,state,qintrvyr,qintrvmo,psu,nywgt
04411384,36,2021,3,NA,33672.144036343154
04411474,36,2021,3,S12A,54017.610062175874
04411674,36,2021,3,NA,30668.959460923827
04411824,36,2021,3,S12A,16179.213578355939
04412304,36,2021,3,S12A,42664.26333220738
04412534,36,2021,3,NA,26831.961471446302
04412794,36,2021,3,S12A,15519.300636685253
04414134,36,2021,3,S12A,30513.022397353387
04415184,36,2021,3,S12A,26177.01438334159
04415424,36,2021,3,S12A,27039.46311007763
04416324,36,2021,3,NA,11633.934354941886
04416914,36,2021,3,S12A,29571.7337010175
04417614,36,2021,3,NA,21199.26436777283
04417874,36,2021,3,S12A,32081.942731907704
04419154,36,2021,3,NA,19927.6089829323
04419294,36,2021,3,S12A,15864.66025386785
04419654,36,2021,3,NA,37550.17302572812
04419804,36,2021,3,S12A,29834.688748140292
04421353,36,2021,1,S12A,26770.50661596653
04421383,36,2021,1,S12A,32798.10594659784
04422633,36,2021,1,NA,30816.914279682227
04423673,36,2021,1,S12A,33687.15352542687
04425423,36,2021,1,NA,35914.91850734472
04426123,36,2021,1,S12A,22332.6152087426
04426843,36,2021,1,S12A,40418.911130223736
04427433,36,2021,1,S12A,37430.441497020576
04427453,36,2021,1,NA,30816.914279682227
04427483,36,2021,1,S12A,37751.5688133388
04428193,36,2021,1,S12A,29120.15078299421
04428483,36,2021,1,NA,36511.63285050516
04428733,36,2021,1,S12A,27809.855927892037
04429373,36,2021,1,S12A,36205.31435417579
04429383,36,2021,1,S12A,17069.683996478587
04461403,36,2021,2,S12A,53259.03155071769
04461953,36,2021,2,S12A,37282.40002907693
04462553,36,2021,2,S12A,27582.638608342037
04462773,36,2021,2,S12A,21871.573868277745
04462823,36,2021,2,NA,23582.66389031677
04463123,36,2021,2,S12A,30269.62475000787
04463463,36,2021,2,S12A,9931.351924380002
04463563,36,2021,2,S12A,25551.066362790567
04463713,36,2021,2,S12A,30736.4983847432
04466043,36,2021,2,S12A,40008.778269196286
04466253,36,2021,2,NA,26341.48059140708
04467263,36,2021,2,NA,16068.552127406077
04467513,36,2021,2,S12A,27583.447444703106
04467613,36,2021,2,S12A,36548.786198395916
04467813,36,2021,2,S12A,33949.94242439175
04467933,36,2021,2,S12A,12771.929401545947
04468323,36,2021,2,S12A,41411.83497233591
04468633,36,2021,2,NA,24617.522587115425
04468913,36,2021,2,S12A,33708.627079392216
04469253,36,2021,2,NA,31764.234101024555
04469613,36,2021,2,S12A,33747.4523014614
04470293,36,2021,2,NA,28161.428105971863
04471773,36,2021,2,S12A,34837.19379946377
04471803,36,2021,2,NA,28450.887187228218
04472283,36,2021,2,S12A,16885.39082272307
04472533,36,2021,2,NA,17949.834650608107
