newid,state,qintrvyr,qintrvmo,psu,txwgt
04558002,48,2021,2,S37A,44687.16333385488
04558042,48,2021,2,NA,26012.941614835243
04558762,48,2021,2,NA,31954.046949936463
04559212,48,2021,2,S37A,41489.828165673236
04560553,48,2021,2,S37B,59830.5382807042
04560802,48,2021,2,NA,47822.75946795962
04561292,48,2021,2,S37A,79768.39426713155
04562212,48,2021,2,NA,57543.93131471425
04562292,48,2021,2,NA,52377.1790812824
04562632,48,2021,2,S37B,39631.06228519292
04562762,48,2021,2,S37A,20199.343239177513
04563052,48,2021,2,NA,30872.352597425863
04563802,48,2021,2,NA,61816.723281731065
04565952,48,2021,2,S37A,49648.23801856444
04566872,48,2021,2,NA,35599.95147793727
04566992,48,2021,2,S37B,76290.491389478
04567592,48,2021,2,S37B,36710.142785059936
04568522,48,2021,3,S37B,40676.71021328515
04568792,48,2021,3,S37A,28484.46231230087
04569312,48,2021,3,S37A,45791.45551447259
04569902,48,2021,3,S37A,30563.895538452467
04569922,48,2021,3,NA,110296.67231557835
04570252,48,2021,3,NA,32803.91503807506
04570352,48,2021,3,NA,32602.904126497306
04570502,48,2021,3,S37A,33606.10629185458
04571322,48,2021,3,S37A,53833.27489564277
04572662,48,2021,3,S37A,39273.1172953075
04572863,48,2021,3,S37A,35739.59931431805
04573672,48,2021,3,NA,41155.40937423207
04574082,48,2021,3,NA,25584.536376947442
04574622,48,2021,3,S37A,26975.315480467765
04574732,48,2021,3,NA,127314.2625170091
04575932,48,2021,3,S37A,69033.38995730865
04576542,48,2021,3,S37B,41548.960226150324
04577492,48,2021,3,NA,52479.2610456096
04577772,48,2021,3,S37B,39263.712823241716
04577932,48,2021,3,NA,43436.90479302996
04578842,48,2021,3,NA,22890.880880009656
04579162,48,2021,3,S37A,39786.81043354788
04610291,48,2021,1,NA,60391.39154377187
04610951,48,2021,1,NA,56558.76606601736
04611541,48,2021,1,S37B,46417.2550320122
04611931,48,2021,1,S37B,30716.429095942833
04612871,48,2021,1,NA,93613.45520433421
04613681,48,2021,1,S37A,75381.50371553955
04614141,48,2021,1,S37A,43053.66135705266
04614151,48,2021,1,NA,60495.32238040722
04614471,48,2021,1,S37A,41218.15553046688
04615531,48,2021,1,S37A,30848.22200641768
04617291,48,2021,1,NA,46605.89125905552
04617501,48,2021,1,S37A,39945.35421528452
04617634,48,2021,1,NA,57434.74611838491
04617731,48,2021,1,S37A,48812.22774103563
04618101,48,2021,1,S37A,40782.82717329603
04618201,48,2021,1,NA,50476.551713672285
04618301,48,2021,1,NA,70143.46238144726
04619031,48,2021,1,S37A,47026.048678913096
04619791,48,2021,1,NA,61571.09949427016
04620081,48,2021,1,NA,39000.41316192351
04621021,48,2021,1,NA,42606.2076129825
04654091,48,2021,2,NA,81692.2023935968
04654121,48,2021,2,S37A,49758.419930039236
04656631,48,2021,2,NA,48053.9525136916
04656851,48,2021,2,S37A,35647.93024441007
04657071,48,2021,2,S37A,89347.53087259736
04657381,48,2021,2,NA,25706.483849257213
04657431,48,2021,2,S37B,29726.498604792683
04657661,48,2021,2,NA,48868.736150285215
04658221,48,2021,2,S37A,41451.696665198906
04659171,48,2021,2,NA,62760.80223058766
04659911,48,2021,2,S37A,33700.30959282794
04661661,48,2021,2,S37A,65156.465565134735
04662251,48,2021,2,S37B,21201.633695767883
04662711,48,2021,2,NA,69564.09170749498
04663311,48,2021,2,S37A,82979.0402256351
04663391,48,2021,2,NA,29982.220095931614
04679141,48,2021,3,NA,27656.824166744645
04679261,48,2021,3,S37B,20216.932037718518
04680311,48,2021,3,NA,24732.254831094517
04680711,48,2021,3,S37B,28849.37852427051
04680941,48,2021,3,S37A,31145.34733430619
04681531,48,2021,3,NA,48227.60013552406
04681791,48,2021,3,S37B,77528.04188415445
04682311,48,2021,3,S37B,47352.315262904915
04684211,48,2021,3,NA,35945.34778798893
04684321,48,2021,3,NA,14966.154301013523
04684621,48,2021,3,S37A,16705.44940430615
04684781,48,2021,3,S37B,20854.194656666703
04685361,48,2021,3,S37B,51891.56973499076
04685551,48,2021,3,NA,72663.24843726982
04685711,48,2021,3,NA,40696.85595994015
04685741,48,2021,3,S37A,38642.28184214605
04686221,48,2021,3,S37A,62767.31270354171
04686931,48,2021,3,NA,45432.64973406437
04687081,48,2021,3,S37B,49576.89510752273
04688001,48,2021,3,NA,38348.53812627075
04688301,48,2021,3,S37A,42854.06527610597
04688761,48,2021,3,NA,41512.64574101819
04689681,48,2021,3,NA,48891.635141063874
04689921,48,2021,3,NA,44191.15087063587
04690111,48,2021,3,S37A,41388.78534067942
04215314,48,2020,4,NA,51636.11001173523
04215924,48,2020,4,S37B,46324.19189934309
04216514,48,2020,4,S37B,45117.373397315154
04216604,48,2020,4,NA,65660.724909772
04216814,48,2020,4,S37B,35770.728167399066
04216924,48,2020,4,NA,60247.765172898646
04216984,48,2020,4,S37A,32852.05311145754
04217394,48,2020,4,NA,51967.94680223918
04217424,48,2020,4,S37B,36512.89027047212
04219224,48,2020,4,NA,58854.97892502312
04219294,48,2020,4,S37B,38756.43304224353
04219594,48,2020,4,S37A,18145.953455601702
04219884,48,2020,4,NA,48303.193939090605
04220364,48,2020,4,S37B,31520.876466027545
04220564,48,2020,4,NA,63309.34156795551
04220804,48,2020,4,NA,49519.08422021154
04221304,48,2020,4,NA,48070.76770291303
04221824,48,2020,4,S37B,63736.92446615373
04221974,48,2020,4,NA,47428.391609441525
04222364,48,2020,4,NA,36906.725477176704
04222444,48,2020,4,NA,33802.377993607355
04222974,48,2020,4,S37B,38991.849420197985
