newid,state,strtyear,strtmnth,psu,txwgt
04642221,48,2020,10,NA,70061.00030022088
04642222,48,2020,10,NA,70061.00030022088
04642471,48,2020,10,S37B,56508.105743121574
04642472,48,2020,10,S37B,56508.105743121574
04643321,48,2020,10,S37B,49554.29917313363
04643322,48,2020,10,S37B,49554.29917313363
04643981,48,2020,10,S37B,125837.0410360521
04643982,48,2020,10,S37B,125837.0410360521
04644711,48,2020,10,NA,126667.59247256121
04644712,48,2020,10,NA,126667.59247256121
04645021,48,2020,10,S37B,9246.482315153453
04645022,48,2020,10,S37B,9246.482315153453
04645041,48,2020,10,S37A,38861.876096046246
04645042,48,2020,10,S37A,38861.876096046246
04645381,48,2020,10,NA,37510.89780741655
04645382,48,2020,10,NA,37510.89780741655
04645551,48,2020,10,S37B,59360.20916440634
04645552,48,2020,10,S37B,59360.20916440634
04645771,48,2020,10,S37B,54660.904573817264
04645772,48,2020,10,S37B,54660.904573817264
04646231,48,2020,10,NA,105222.81323169287
04646232,48,2020,10,NA,105222.81323169287
04646631,48,2020,10,S37A,53616.93588891015
04646632,48,2020,11,S37A,53616.93588891015
04647851,48,2020,10,S37B,19593.331607704014
04647852,48,2020,10,S37B,19593.331607704014
04647941,48,2020,10,S37A,17606.060280069407
04647942,48,2020,10,S37A,17606.060280069407
04647981,48,2020,10,NA,72090.14888273721
04647982,48,2020,10,NA,72090.14888273721
04648251,48,2020,10,NA,70362.60267155289
04648252,48,2020,10,NA,70362.60267155289
04648511,48,2020,10,S37B,82781.39203059925
04648512,48,2020,10,S37B,82781.39203059925
04649001,48,2020,10,NA,38836.77147885953
04649002,48,2020,10,NA,38836.77147885953
04649571,48,2020,10,NA,50021.150675250734
04649572,48,2020,10,NA,50021.150675250734
04650781,48,2020,10,NA,126557.48821710936
04650782,48,2020,10,NA,126557.48821710936
04651701,48,2020,10,NA,166018.48700360642
04651702,48,2020,11,NA,166018.48700360642
04651711,48,2020,10,S37A,105982.04891343921
04651712,48,2020,10,S37A,105982.04891343921
04663521,48,2020,12,S37B,49976.94920789752
04663522,48,2020,12,S37B,49976.94920789752
04663681,48,2020,12,NA,131023.3544339107
04663682,48,2020,12,NA,131023.3544339107
04663771,48,2020,12,S37A,49690.748919520855
04663772,48,2020,12,S37A,49690.748919520855
04664201,48,2020,12,S37B,103921.06657347066
04664202,48,2020,12,S37B,103921.06657347066
04664441,48,2020,12,S37A,17950.608699117718
04664442,48,2020,12,S37A,17950.608699117718
04664471,48,2020,12,S37A,65216.17674578519
04664472,48,2020,12,S37A,65216.17674578519
04665151,48,2020,12,S37B,40419.42311212031
04665152,48,2020,12,S37B,40419.42311212031
04666781,48,2020,12,S37A,109329.0115061319
04666782,48,2020,12,S37A,109329.0115061319
04667791,48,2020,12,S37B,59166.7960853542
04667792,48,2020,12,S37B,59166.7960853542
04667891,48,2020,12,S37B,114216.18681635743
04667892,48,2020,12,S37B,114216.18681635743
04668391,48,2020,12,NA,74094.07154482459
04668392,48,2020,12,NA,74094.07154482459
04668541,48,2020,12,NA,58619.31227262603
04668542,48,2020,12,NA,58619.31227262603
04669921,48,2020,12,S37B,59580.22301424542
04669922,48,2020,12,S37B,59580.22301424542
04670761,48,2020,12,S37B,112576.23563608702
04670762,48,2020,12,S37B,112576.23563608702
04670931,48,2020,12,S37A,37506.286575372076
04670932,48,2020,12,S37A,37506.286575372076
04671161,48,2020,12,NA,103639.11652399658
04671162,48,2020,12,NA,103639.11652399658
04671641,48,2020,12,S37A,86967.2481071889
04671642,48,2020,12,S37A,86967.2481071889
04671721,48,2020,12,NA,51089.67011206986
04671722,48,2020,12,NA,51089.67011206986
04671851,48,2020,12,S37A,24978.00736024442
04671852,48,2020,12,S37A,24978.00736024442
04672781,48,2020,12,NA,44421.01603173881
04672782,48,2020,12,NA,44421.01603173881
04675241,48,2020,12,NA,24710.134917318897
04675242,48,2020,12,NA,24710.134917318897
04676061,48,2020,12,S37B,61338.25390681709
04676062,48,2020,12,S37B,61338.25390681709
04676121,48,2020,12,S37A,107866.8334154974
04676122,48,2020,12,S37A,107866.8334154974
04677171,48,2020,12,S37A,113931.0503556228
04677771,48,2020,12,S37A,31992.383693892323
04677772,48,2020,12,S37A,31992.383693892323
04678061,48,2020,12,NA,139327.32043632236
04678062,48,2020,12,NA,139327.32043632236
04678371,48,2020,12,S37A,63163.24700341633
04678372,48,2021,1,S37A,63163.24700341633
04678731,48,2020,12,S37B,35173.39211196952
04678732,48,2020,12,S37B,35173.39211196952
